8,"Banana, Indian",Generic,Fruits,Banana,1 Piece,1,IFCT 2017,Ripe,105.00 kcal,1.29 g,26.95 g,23.85 g,0.39 g,3.10 g,14.43 g,0.00 g,3.0 mcg,0.04 mg,0.09 mg,0.79 mg,0.39 mg,0.43 mg,N/A,24.0 mcg,0.00 mcg,10.30 mg,0.00 mcg,0.12 mg,0.60 mcg,0.31 mg,0.18 mg,0.09 mg,0.32 mg,1.2 mcg,N/A,0.13 g,0.03 g,0.07 g,0.03 g,0.04 g,0.00 g,0 mg,51,14,75.80 g
9,Watermelon,Generic,Fruits,Melon,100 g,100,USDA FoodData Central,Raw,30.00 kcal,0.61 g,7.55 g,7.15 g,0.15 g,0.40 g,6.20 g,0.00 g,28.0 mcg,0.03 mg,0.02 mg,0.18 mg,0.22 mg,0.05 mg,N/A,3.0 mcg,0.00 mcg,8.10 mg,0.00 mcg,0.05 mg,0.10 mcg,0.24 mg,0.10 mg,0.04 mg,0.04 mg,0.40 mcg,N/A,0.02 g,0.04 g,0.05 g,0.01 g,0.04 g,0.00 g,0 mg,72,5,91.45 g
10,"Banana, Indian",Generic,Fruits,Banana,1 Piece,1,IFCT 2017,Ripe,105.00 kcal,1.29 g,26.95 g,23.85 g,0.39 g,3.10 g,14.43 g,0.00 g,3.0 mcg,0.04 mg,0.09 mg,0.79 mg,0.39 mg,0.43 mg,N/A,24.0 mcg,0.00 mcg,10.30 mg,0.00 mcg,0.12 mg,0.60 mcg,0.31 mg,0.18 mg,0.09 mg,0.32 mg,1.2 mcg,N/A,0.13 g,0.03 g,0.07 g,0.03 g,0.04 g,0.00 g,0 mg,51,14,75.80 g
11,"Banana, Indian",Generic,Fruits,Banana,1 Piece,1,IFCT 2017,Ripe,105.00 kcal,1.29 g,26.95 g,23.85 g,0.39 g,3.10 g,14.43 g,0.00 g,3.0 mcg,0.04 mg,0.09 mg,0.79 mg,0.39 mg,0.43 mg,N/A,24.0 mcg,0.00 mcg,10.30 mg,0.00 mcg,0.12 mg,0.60 mcg,0.31 mg,0.18 mg,0.09 mg,0.32 mg,1.2 mcg,N/A,0.13 g,0.03 g,0.07 g,0.03 g,0.04 g,0.00 g,0 mg,51,14,75.80 g
12,Lauki Ki Sabji,Generic,Vegetables,Cooked Vegetable Curry,100 g,100,IFCT 2017,Cooked,55.00 kcal,1.20 g,5.80 g,4.10 g,3.00 g,1.70 g,2.70 g,0.00 g,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.40 g,1.30 g,0.90 g,N/A,N/A,0.00 g,0.00 mg,40,2,89.30 g
13,Chapati,Generic,Grains,Flatbread,1 Piece,1,IFCT 2017,Plain,120.00 kcal,4.10 g,22.50 g,19.90 g,2.00 g,2.60 g,0.50 g,0.00 g,N/A,0.09 mg,0.04 mg,1.47 mg,N/A,0.12 mg,N/A,18.0 mcg,0.00 mcg,0.00 mg,0.00 mcg,0.18 mg,1.3 mcg,1.62 mg,0.93 mg,0.18 mg,0.82 mg,22.0 mcg,N/A,0.42 g,0.38 g,0.85 g,N/A,N/A,0.00 g,0.00 mg,62,14,19.40 g
14,Arhar Dal,Generic,Pulses,Cooked Dal,100 g,100,IFCT 2017,Boiled,116.00 kcal,7.90 g,20.10 g,15.10 g,0.60 g,5.00 g,1.80 g,0.00 g,0.00 mcg,0.08 mg,0.03 mg,0.50 mg,N/A,0.08 mg,N/A,14.0 mcg,0.00 mcg,1.50 mg,0.00 mcg,0.10 mg,N/A,1.30 mg,1.00 mg,0.20 mg,0.40 mg,2.8 mcg,N/A,0.13 g,0.11 g,0.27 g,N/A,N/A,0.00 g,0.00 mg,29,4,70.90 g
15,Prawns Curry,Generic,Seafood,Home-style Curry,100 g,100,IFCT 2017 + USDA FoodData Central (Estimated Home-style Recipe),Home-style Indian curry prepared with prawns, onion, tomato, ginger, garlic, common Indian spices, and approximately 8–12 ml oil per serving. No butter, cream, coconut milk, or cashew paste.,138.00 kcal,18.40 g,4.20 g,3.10 g,5.20 g,1.10 g,2.10 g,0.00 g,34.0 mcg,0.04 mg,0.12 mg,2.60 mg,0.34 mg,0.15 mg,N/A,17.0 mcg,1.30 mcg,5.10 mg,0.20 mcg,0.62 mg,6.5 mcg,1.10 mg,1.35 mg,0.22 mg,0.17 mg,31.0 mcg,N/A,0.92 g,1.68 g,1.46 g,0.24 g,0.98 g,0.00 g,145.00 mg,18,1,70.30 g
16,Idli,Generic,Cereals & Breakfast,Steamed Rice Cake,100 g,100,IFCT 2017 + USDA FoodData Central,Homemade steamed idli prepared from a traditional fermented batter of parboiled rice and urad dal. No oil, butter, or ghee assumed.,146.00 kcal,4.60 g,30.40 g,28.60 g,0.70 g,1.80 g,0.40 g,0.00 g,0.00 mcg,0.06 mg,0.03 mg,0.60 mg,N/A,0.05 mg,N/A,12.0 mcg,0.00 mcg,0.00 mg,0.00 mcg,0.06 mg,N/A,0.80 mg,0.50 mg,0.10 mg,0.35 mg,3.2 mcg,N/A,0.16 g,0.18 g,0.24 g,N/A,N/A,0.00 g,0.00 mg,77,22,63.40 g
17,Sambar,Generic,Curries & Gravies,Lentil Curry,100 g,100,IFCT 2017 + USDA FoodData Central (Estimated Home-style Recipe),Home-style South Indian sambar prepared with toor dal, mixed vegetables, tamarind, onion, tomato, sambar powder, curry leaves, mustard seeds, and approximately 8–12 ml oil per serving. No coconut milk or cream assumed.,68.00 kcal,2.90 g,10.20 g,7.90 g,1.90 g,2.30 g,2.20 g,0.00 g,42.0 mcg,0.05 mg,0.02 mg,0.60 mg,N/A,0.08 mg,N/A,16.0 mcg,0.00 mcg,5.40 mg,0.00 mcg,0.22 mg,7.0 mcg,0.70 mg,0.40 mg,0.09 mg,0.22 mg,1.8 mcg,N/A,0.30 g,0.67 g,0.74 g,N/A,N/A,0.00 g,0.00 mg,34,3,84.20 g
18,Chicken Biryani,Generic,Rice Dishes,Chicken Biryani,100 g,100,IFCT 2017 + USDA FoodData Central (Estimated Home-style Recipe),Home-style Indian chicken biryani prepared with basmati rice, skinless chicken, onion, tomato, ginger, garlic, curd, common Indian spices, and low to moderate oil. No butter, cream, excessive ghee, or restaurant-style preparation assumed.,171.00 kcal,10.20 g,18.40 g,17.60 g,6.30 g,0.80 g,1.20 g,0.00 g,28.0 mcg,0.08 mg,0.06 mg,4.20 mg,0.55 mg,0.29 mg,N/A,10.0 mcg,0.20 mcg,3.10 mg,0.10 mcg,0.45 mg,5.0 mcg,1.00 mg,1.20 mg,0.09 mg,0.35 mg,11.5 mcg,N/A,1.45 g,2.30 g,1.55 g,0.05 g,1.32 g,0.00 g,31.00 mg,56,10,63.50 g
19,White Sauce Pasta,Generic,Pasta,White Sauce Pasta,100 g,100,IFCT 2017 + USDA FoodData Central (Estimated Home-style Recipe),Home-style white sauce pasta prepared with boiled pasta, toned milk, wheat flour, moderate cheese, low butter, onion, garlic, black pepper, mixed vegetables (optional), and low oil. No cream or restaurant-style preparation assumed.,168.00 kcal,6.20 g,22.10 g,20.90 g,5.80 g,1.20 g,2.80 g,0.00 g,62.0 mcg,0.08 mg,0.13 mg,1.10 mg,0.35 mg,0.07 mg,N/A,18.0 mcg,0.28 mcg,2.20 mg,0.12 mcg,0.42 mg,5.0 mcg,0.90 mg,0.75 mg,0.08 mg,0.28 mg,16.0 mcg,N/A,2.35 g,1.60 g,0.95 g,0.05 g,0.80 g,0.00 g,12.00 mg,49,11,63.80 g
20,Paneer Potato Curry,Generic,Paneer Dishes,Home-style Curry,100 g,100,IFCT 2017 + USDA FoodData Central (Estimated Home-style Recipe),Home-style Indian paneer and potato curry prepared with paneer, potato, onion, tomato, ginger, garlic, common Indian spices, and approximately 8–12 ml oil per serving. No butter, cream, or cashew paste assumed.,145.00 kcal,6.80 g,9.20 g,7.80 g,8.60 g,1.40 g,2.20 g,0.00 g,92.0 mcg,0.06 mg,0.15 mg,0.80 mg,0.31 mg,0.15 mg,N/A,16.0 mcg,0.42 mcg,7.20 mg,0.08 mcg,0.44 mg,8.0 mcg,0.72 mg,0.92 mg,0.09 mg,0.18 mg,4.8 mcg,N/A,4.20 g,2.10 g,0.78 g,N/A,N/A,0.00 g,19.00 mg,42,3,73.40 g
21,White Bread,Generic,Bakery,Sliced Bread,100 g,100,USDA FoodData Central,Commercially packaged sliced white bread purchased from a retail store. Nutritional values represent a typical branded product without butter, jam, or other spreads.,266.00 kcal,8.90 g,49.40 g,46.70 g,3.30 g,2.70 g,5.00 g,4.00 g,0.00 mcg,0.48 mg,0.29 mg,4.60 mg,0.45 mg,0.09 mg,N/A,120.0 mcg,0.00 mcg,0.00 mg,0.00 mcg,0.40 mg,2.1 mcg,3.60 mg,0.80 mg,0.10 mg,0.60 mg,22.0 mcg,N/A,0.70 g,0.70 g,1.40 g,0.06 g,1.32 g,0.00 g,0.00 mg,75,35,36.80 g
22,Oreo Original Biscuit,Oreo,Biscuits & Cookies,Cream Biscuit,100 g,100,Official Nutrition Label,Commercially packaged Oreo Original cream biscuits. Nutritional values are based on the official product label and standardized to 100 g.,478.00 kcal,4.80 g,71.60 g,68.90 g,19.20 g,2.70 g,37.50 g,37.50 g,0.00 mcg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 mcg,0.00 mg,0.00 mcg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.70 g,N/A,N/A,N/A,N/A,0.00 g,0.00 mg,49,34,2.90 g
23,Yoga Bar Protein Oats - Kesar Pista,Yoga Bar,Breakfast Cereals,Protein Oats,100 g,100,Official Nutrition Label + USDA FoodData Central (Ingredient-weighted Micronutrient Estimation),Commercially packaged Yoga Bar Protein Oats (Kesar Pista flavour). Macronutrients are from the official nutrition label. Micronutrients not declared on the label are estimated using the ingredient composition (52.7% oats, 27.6% whey & soy protein blend, 10% nuts & seeds, raisins, rice bran oil) and USDA FoodData Central.,328.00 kcal,26.00 g,45.80 g,35.50 g,6.80 g,10.30 g,8.50 g,0.00 g,42.00 mcg,0.39 mg,0.28 mg,3.90 mg,1.02 mg,0.34 mg,18.00 mcg,46.00 mcg,0.82 mcg,0.90 mg,0.12 mcg,2.80 mg,3.60 mcg,4.90 mg,3.90 mg,0.82 mg,2.75 mg,24.00 mcg,N/A,1.30 g,2.10 g,2.40 g,0.42 g,1.95 g,0.00 g,<1.00 mg,48,17,6.20 g
24,Yoga Bar Protein Oats - Chocolate,Yoga Bar,Breakfast Cereals,Protein Oats,100 g,100,Official Nutrition Label + USDA FoodData Central (Ingredient-weighted Micronutrient Estimation),Commercially packaged Yoga Bar Protein Oats (Chocolate flavour). Macronutrients are from the official nutrition label. Micronutrients not declared on the label are estimated using the ingredient composition (33% instant oats, 28.6% whey & soy protein blend, 10% nuts & seeds, cocoa powder, jowar flakes, raisins, rice bran oil) and USDA FoodData Central.,364.00 kcal,26.00 g,57.30 g,46.20 g,5.90 g,11.10 g,15.90 g,0.00 g,24.00 mcg,0.42 mg,0.30 mg,4.20 mg,1.08 mg,0.38 mg,17.00 mcg,48.00 mcg,0.85 mcg,1.20 mg,0.14 mcg,2.60 mg,4.20 mcg,5.60 mg,4.20 mg,0.94 mg,2.95 mg,25.80 mcg,N/A,1.30 g,1.85 g,2.05 g,0.38 g,1.74 g,0.00 g,<1.00 mg,46,21,5.80 g
25,Black Coffee,Generic,Beverages,Coffee,100 g,100,USDA FoodData Central,Black coffee prepared with water and coffee powder only. No sugar, milk, cream, or sweeteners.,2.00 kcal,0.12 g,0.00 g,0.00 g,0.02 g,0.00 g,0.00 g,0.00 g,0.00 mcg,0.00 mg,0.08 mg,0.19 mg,0.25 mg,0.00 mg,N/A,2.00 mcg,0.00 mcg,0.00 mg,0.00 mcg,0.01 mg,0.10 mcg,0.02 mg,0.02 mg,0.01 mg,0.03 mg,0.10 mcg,N/A,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 g,0.00 mg,0,0,99.39 g
26,Tea,Generic,Beverages,Milk Tea,100 g,100,USDA FoodData Central + IFCT 2017 (Estimated Home-style Recipe),Home-style Indian milk tea prepared with toned cow milk, water, tea leaves, and approximately 5 g sugar per 100 g. No cream or condensed milk assumed.,36.00 kcal,1.10 g,5.60 g,5.60 g,1.10 g,0.00 g,5.50 g,3.80 g,18.00 mcg,0.03 mg,0.09 mg,0.10 mg,0.18 mg,0.03 mg,N/A,4.00 mcg,0.20 mcg,0.20 mg,0.03 mcg,0.03 mg,0.20 mcg,0.10 mg,0.15 mg,0.01 mg,0.08 mg,1.40 mcg,N/A,0.68 g,0.29 g,0.05 g,0.01 g,0.03 g,0.00 g,4.00 mg,38,2,92.00 g
27,Toned Cow Milk,Generic,Dairy,Milk,100 g,100,IFCT 2017 + USDA FoodData Central,Plain toned cow milk. No sugar, flavoring, or fortification assumed.,58.00 kcal,3.20 g,4.80 g,4.80 g,3.00 g,0.00 g,4.80 g,0.00 g,46.00 mcg,0.04 mg,0.18 mg,0.10 mg,0.37 mg,0.04 mg,3.20 mcg,5.00 mcg,0.45 mcg,1.00 mg,0.05 mcg,0.08 mg,0.30 mcg,0.03 mg,0.38 mg,0.01 mg,0.01 mg,2.50 mcg,N/A,1.90 g,0.82 g,0.10 g,0.03 g,0.07 g,0.00 g,10.00 mg,31,1,88.30 g
28,Coffee,Generic,Beverages,Milk Coffee,100 g,100,USDA FoodData Central + IFCT 2017 (Estimated Home-style Recipe),Home-style Indian coffee prepared with toned cow milk, water, instant coffee, and approximately 5 g sugar per 100 g. No cream or flavored syrups assumed.,39.00 kcal,1.30 g,5.70 g,5.70 g,1.20 g,0.00 g,5.50 g,3.80 g,20.00 mcg,0.03 mg,0.10 mg,0.20 mg,0.20 mg,0.03 mg,N/A,4.00 mcg,0.21 mcg,0.20 mg,0.03 mcg,0.03 mg,0.20 mcg,0.08 mg,0.16 mg,0.01 mg,0.03 mg,1.50 mcg,N/A,0.73 g,0.31 g,0.05 g,0.01 g,0.03 g,0.00 g,5.00 mg,34,2,91.80 g
29,Mixed Vegetable Sabji,Generic,Vegetables,Mixed Vegetable Curry,100 g,100,IFCT 2017 + USDA FoodData Central (Estimated Home-style Recipe),Home-style Indian mixed vegetable sabji prepared with seasonal vegetables (carrot, beans, peas, cauliflower, potato, capsicum), onion, tomato, ginger, garlic, common Indian spices, and approximately 5–10 ml oil per serving. No butter or cream assumed.,82.00 kcal,2.60 g,11.20 g,8.80 g,3.20 g,2.40 g,3.20 g,0.00 g,185.00 mcg,0.08 mg,0.05 mg,1.10 mg,0.38 mg,0.22 mg,N/A,29.00 mcg,0.00 mcg,24.00 mg,0.00 mcg,0.70 mg,18.00 mcg,0.90 mg,0.45 mg,0.11 mg,0.24 mg,1.40 mcg,N/A,0.45 g,1.30 g,1.10 g,0.08 g,1.00 g,0.00 g,0.00 mg,38,3,81.20 g
30,Pomegranate,Generic,Fruits,Fresh Fruit,100 g,100,USDA FoodData Central,Fresh raw pomegranate (anaar) arils without peel or seeds removed. No added sugar or preservatives.,83.00 kcal,1.67 g,18.70 g,14.70 g,1.17 g,4.00 g,13.70 g,0.00 g,0.00 mcg,0.07 mg,0.05 mg,0.29 mg,0.60 mg,0.08 mg,N/A,38.00 mcg,0.00 mcg,10.20 mg,0.00 mcg,0.60 mg,16.40 mcg,0.30 mg,0.35 mg,0.16 mg,0.12 mg,0.50 mcg,N/A,0.12 g,0.09 g,0.08 g,0.01 g,0.08 g,0.00 g,0.00 mg,35,5,77.90 g
31,Papaya,Generic,Fruits,Fresh Fruit,100 g,100,USDA FoodData Central,Fresh ripe papaya without peel and seeds. No added sugar or preservatives.,43.00 kcal,0.47 g,10.82 g,9.12 g,0.26 g,1.70 g,7.82 g,0.00 g,47.00 mcg,0.02 mg,0.03 mg,0.36 mg,0.19 mg,0.04 mg,N/A,37.00 mcg,0.00 mcg,60.90 mg,0.00 mcg,0.30 mg,2.60 mcg,0.25 mg,0.08 mg,0.05 mg,0.04 mg,0.60 mcg,N/A,0.08 g,0.07 g,0.06 g,0.01 g,0.05 g,0.00 g,0.00 mg,60,5,88.10 g
32,Guava,Generic,Fruits,Fresh Fruit,100 g,100,USDA FoodData Central,Fresh ripe guava without added sugar or preservatives.,68.00 kcal,2.55 g,14.32 g,8.92 g,0.95 g,5.40 g,8.92 g,0.00 g,31.00 mcg,0.07 mg,0.04 mg,1.08 mg,0.45 mg,0.11 mg,N/A,49.00 mcg,0.00 mcg,228.30 mg,0.00 mcg,0.73 mg,2.60 mcg,0.26 mg,0.23 mg,0.23 mg,0.15 mg,0.60 mcg,N/A,0.27 g,0.09 g,0.40 g,0.03 g,0.37 g,0.00 g,0.00 mg,12,1,80.80 g
33,Mango,Generic,Fruits,Fresh Fruit,100 g,100,USDA FoodData Central,Fresh ripe mango without peel or seed. No added sugar or preservatives.,60.00 kcal,0.82 g,14.98 g,13.38 g,0.38 g,1.60 g,13.66 g,0.00 g,54.00 mcg,0.03 mg,0.04 mg,0.67 mg,0.20 mg,0.12 mg,N/A,43.00 mcg,0.00 mcg,36.40 mg,0.00 mcg,0.90 mg,4.20 mcg,0.16 mg,0.09 mg,0.11 mg,0.06 mg,0.60 mcg,N/A,0.09 g,0.14 g,0.07 g,0.03 g,0.04 g,0.00 g,0.00 mg,51,8,83.50 g
